Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/07/2016,"2,682","12,541",9.02,13,667,171,18,60,"1,248"
8/07/2016,"2,423","8,029",5.7,35,760,208,13,6,928
9/07/2016,"2,875","10,801",7.67,3,496,148,18,46,"1,040"
10/07/2016,"2,638","11,997",8.52,22,771,248,3,27,"1,285"
11/07/2016,"2,423","9,039",6.42,12,714,232,10,16,"1,044"
12/07/2016,"3,102","17,721",12.58,8,519,226,30,107,"1,805"
13/07/2016,"2,450","10,544",7.49,4,637,191,8,45,"1,064"
14/07/2016,"2,555","10,047",7.16,68,711,161,10,57,"1,060"
15/07/2016,"2,245","4,733",3.36,9,783,139,20,6,667
16/07/2016,"2,936","12,056",8.56,25,604,282,32,36,"1,576"
17/07/2016,"2,717","11,791",8.37,46,870,235,28,45,"1,340"
18/07/2016,"2,690","10,721",7.61,7,481,248,10,33,"1,226"
19/07/2016,"3,147","13,007",9.23,110,448,199,70,80,"1,836"
20/07/2016,"2,837","13,401",9.51,115,559,201,20,77,"1,450"
21/07/2016,"2,851","15,281",10.85,143,589,208,18,82,"1,523"
22/07/2016,"2,611","11,337",8.05,15,620,242,7,31,"1,234"
23/07/2016,"2,307","7,738",5.49,24,738,133,18,37,806
24/07/2016,"3,109","11,767",8.4,41,534,333,53,31,"1,840"
25/07/2016,"3,164","13,324",9.46,41,582,242,40,98,"1,842"
26/07/2016,"2,593","5,957",4.23,11,694,262,7,4,"1,080"
27/07/2016,"2,490","10,206",7.25,1,692,204,10,19,"1,060"
28/07/2016,"2,638","11,557",8.21,2,498,179,46,49,"1,252"
29/07/2016,"2,769","11,013",7.84,33,478,221,40,40,"1,399"
30/07/2016,"2,629","10,168",7.22,9,800,245,12,9,"1,164"
31/07/2016,"2,555","11,686",8.34,28,824,151,14,62,"1,158"
1/08/2016,"3,010","13,991",9.93,38,632,207,56,62,"1,643"
2/08/2016,"2,694","13,444",9.59,30,858,161,12,80,"1,273"
3/08/2016,"2,713","12,398",8.8,53,680,187,10,67,"1,271"
4/08/2016,"2,640","11,986",8.51,44,651,269,4,12,"1,255"
5/08/2016,"2,680","12,858",9.15,49,756,169,6,61,"1,220"
